data,date,time,alertDate,category,category_desc,matrix_id,rid
כרמיאל,14.06.2025,05:12:12,2025-06-14T05:12:00,1,ירי רקטות וטילים,1,77179
כרמיאל,14.06.2025,23:11:44,2025-06-14T23:12:00,1,ירי רקטות וטילים,1,78906
כרמיאל,15.06.2025,02:18:57,2025-06-15T02:19:00,14,מבזק,10,79778
כרמיאל,15.06.2025,15:52:40,2025-06-15T15:53:00,14,מבזק,10,83266
כרמיאל,15.06.2025,16:12:01,2025-06-15T16:12:00,1,ירי רקטות וטילים,1,84897
כרמיאל,15.06.2025,16:26:48,2025-06-15T16:27:00,13,עדכון,10,86201
כרמיאל,15.06.2025,20:34:06,2025-06-15T20:34:00,14,מבזק,10,86678
כרמיאל,15.06.2025,20:37:58,2025-06-15T20:38:00,1,ירי רקטות וטילים,1,87623
כרמיאל,16.06.2025,03:47:54,2025-06-16T03:48:00,14,מבזק,10,90406
כרמיאל,16.06.2025,04:05:13,2025-06-16T04:05:00,14,מבזק,10,90817
כרמיאל,16.06.2025,04:05:25,2025-06-16T04:05:00,14,מבזק,10,92196
כרמיאל,16.06.2025,04:06:05,2025-06-16T04:06:00,14,מבזק,10,92518
כרמיאל,16.06.2025,04:10:23,2025-06-16T04:10:00,1,ירי רקטות וטילים,1,93162
כרמיאל,16.06.2025,19:34:05,2025-06-16T19:34:00,14,מבזק,10,94890
כרמיאל,16.06.2025,19:38:40,2025-06-16T19:39:00,1,ירי רקטות וטילים,1,95283
כרמיאל,16.06.2025,19:52:08,2025-06-16T19:52:00,13,עדכון,10,95564
כרמיאל,16.06.2025,20:27:14,2025-06-16T20:27:00,14,מבזק,10,96621
כרמיאל,16.06.2025,21:08:32,2025-06-16T21:09:00,13,עדכון,10,97050
כרמיאל,17.06.2025,04:30:01,2025-06-17T04:30:00,14,מבזק,10,100468
כרמיאל,17.06.2025,04:34:14,2025-06-17T04:34:00,1,ירי רקטות וטילים,1,101024
כרמיאל,17.06.2025,04:44:51,2025-06-17T04:45:00,13,עדכון,10,101281
כרמיאל,17.06.2025,08:43:28,2025-06-17T08:43:00,1,ירי רקטות וטילים,1,102564
כרמיאל,17.06.2025,09:02:35,2025-06-17T09:03:00,13,עדכון,10,102781
כרמיאל,17.06.2025,21:46:02,2025-06-17T21:46:00,1,ירי רקטות וטילים,1,104766
כרמיאל,18.06.2025,00:41:57,2025-06-18T00:42:00,1,ירי רקטות וטילים,1,105343
כרמיאל,19.06.2025,07:05:18,2025-06-19T07:05:00,14,מבזק,10,109516
כרמיאל,19.06.2025,07:14:57,2025-06-19T07:15:00,1,ירי רקטות וטילים,1,111031
כרמיאל,19.06.2025,07:39:56,2025-06-19T07:40:00,13,עדכון,10,111479
כרמיאל,19.06.2025,16:34:19,2025-06-19T16:34:00,14,בדקות הקרובות צפויות להתקבל התרעות באזורך,10,112734
כרמיאל,19.06.2025,16:37:36,2025-06-19T16:38:00,1,ירי רקטות וטילים,1,113150
כרמיאל,19.06.2025,16:55:15,2025-06-19T16:55:00,13,ירי רקטות וטילים -  האירוע הסתיים,10,113600
כרמיאל,20.06.2025,15:32:58,2025-06-20T15:33:00,14,בדקות הקרובות צפויות להתקבל התרעות באזורך,10,114956
כרמיאל,20.06.2025,15:38:02,2025-06-20T15:38:00,1,ירי רקטות וטילים,1,115963
כרמיאל,21.06.2025,02:52:55,2025-06-21T02:53:00,13,ירי רקטות וטילים -  האירוע הסתיים,10,116503
כרמיאל,24.06.2025,06:56:40,2025-06-24T06:57:00,1,ירי רקטות וטילים,1,169922
כרמיאל,24.06.2025,10:27:17,2025-06-24T10:27:00,14,בדקות הקרובות צפויות להתקבל התרעות באזורך,10,171308
כרמיאל,24.06.2025,10:31:45,2025-06-24T10:32:00,1,ירי רקטות וטילים,1,171805
כרמיאל,24.06.2025,10:45:46,2025-06-24T10:46:00,13,ירי רקטות וטילים -  האירוע הסתיים,10,172432
כרמיאל,28.02.2026,10:36:54,2026-02-28T10:37:00,1,ירי רקטות וטילים,1,238019
כרמיאל,28.02.2026,11:07:48,2026-02-28T11:08:00,1,ירי רקטות וטילים,1,239918
כרמיאל,28.02.2026,11:22:22,2026-02-28T11:22:00,1,ירי רקטות וטילים,1,241110
כרמיאל,28.02.2026,11:27:41,2026-02-28T11:28:00,1,ירי רקטות וטילים,1,241457
כרמיאל,28.02.2026,11:32:42,2026-02-28T11:33:00,1,ירי רקטות וטילים,1,242299
כרמיאל,28.02.2026,11:38:09,2026-02-28T11:38:00,1,ירי רקטות וטילים,1,242596
כרמיאל,28.02.2026,14:16:50,2026-02-28T14:17:00,14,בדקות הקרובות צפויות להתקבל התרעות באזורך,10,247938
כרמיאל,28.02.2026,15:23:44,2026-02-28T15:24:00,14,בדקות הקרובות צפויות להתקבל התרעות באזורך,10,250292
כרמיאל,28.02.2026,15:35:19,2026-02-28T15:35:00,1,ירי רקטות וטילים,1,250938
כרמיאל,28.02.2026,15:51:49,2026-02-28T15:52:00,13,ניתן לצאת מהמרחב המוגן אך יש להישאר בקרבתו,10,252454
כרמיאל,28.02.2026,17:32:51,2026-02-28T17:33:00,14,בדקות הקרובות צפויות להתקבל התרעות באזורך,10,257763
כרמיאל,28.02.2026,17:52:04,2026-02-28T17:52:00,14,בדקות הקרובות צפויות להתקבל התרעות באזורך,10,259230
כרמיאל,28.02.2026,17:59:15,2026-02-28T17:59:00,1,ירי רקטות וטילים,1,259700
כרמיאל,28.02.2026,18:11:36,2026-02-28T18:12:00,13,ניתן לצאת מהמרחב המוגן אך יש להישאר בקרבתו,10,260565
כרמיאל,28.02.2026,18:40:37,2026-02-28T18:41:00,14,בדקות הקרובות צפויות להתקבל התרעות באזורך,10,261433
כרמיאל,28.02.2026,19:00:05,2026-02-28T19:00:00,13,ניתן לצאת מהמרחב המוגן אך יש להישאר בקרבתו,10,262647
כרמיאל,28.02.2026,22:35:21,2026-02-28T22:35:00,14,בדקות הקרובות צפויות להתקבל התרעות באזורך,10,266881
כרמיאל,28.02.2026,22:43:54,2026-02-28T22:44:00,1,ירי רקטות וטילים,1,267711
כרמיאל,01.03.2026,01:32:15,2026-03-01T01:32:00,14,בדקות הקרובות צפויות להתקבל התרעות באזורך,10,269274
